1,V–016,DA9391LA,KIJANG,TOYOTA,2005,Baik,Second,lib/assets/images/V-016.png
2,V–017,DA8304LE,PANTHER – PICK UP,ISUZU,2007,Baik,Baru,lib/assets/images/V-017.png
3,V–018,DA1841LE,KIJANG INOVA,TOYOTA,2008,Baik,Baru,lib/assets/images/V-018.png
4,V–020,DA8401LH,STRADA TRITON DOUBLE CABIN,MITSUBISHI,2009,Baik,Baru,lib/assets/images/V-020.png
5,V–022,DA8398LH,STRADA TRITON SINGLE CABIN,MITSUBISHI,2009,Baik,Baru,lib/assets/images/V-022.png
6,V–023,DA8305LE,STRADA TRITON DOUBLE CABIN,MITSUBISHI,2011,Baik,Baru,lib/assets/images/V-023.png
7,V–024,DA1606LD,KIJANG INOVA,TOYOTA,2012,Baik,Baru,lib/assets/images/V-024.png
8,V–026,DA1025LK,FORTUNER,TOYOTA,2014,Baik,Baru,lib/assets/images/V-026.png
9,V–027,DA8543LM,NEW STRD TRITON DOUBLE CABIN,MITSUBISHI,2015,Baik,Second,lib/assets/images/V-027.png
10,V-028,DA8540LN,HILUX,TOYOTA,2023,Baik,Baru,lib/assets/images/V-028.png
11,V-029,DA8707HA,NEW STRD TRITON DOUBLE CABIN,MITSUBISHI,2023,Baik,Second,lib/assets/images/V-029.png
12,V-030,DA8952LN,TRUCK,HINO,2023,Baik,Baru,lib/assets/images/V-030.png
13,V-031,DA8561BS,L-300,MITSUBISHI,2023,Baik,Second,lib/assets/images/V-031.png
14,V-032,B9334PYW,TRUCK,HINO,2024,Baik,Second,lib/assets/images/V-032.png
15,V-033,KH8151FG,TRUCK,MITSUBISHI,2024,Baik,Second,lib/assets/images/V-033.png
16,V–004B,DA2719WA,KHARISMA 125 D,HONDA,2006,Baik,Baru,lib/assets/images/V-016.png
17,FIM-002MF,MF02,MASSEY FERGUSON,MF375–4WD,1991,Rusak,Baru,lib/assets/images/FIM-002MF.png
18,FIM-003MF,MF03,MASSEY FERGUSON,MF390-4WD,1993,Baik,Baru,lib/assets/images/FIM-003MF.png
19,FIM-004MF,MF04,MASSEY FERGUSON,MF390-4WD,1994,Baik,Baru,lib/assets/images/FIM-004MF.png
20,FIM-005MF,MF05,MASSEY FERGUSON,MF390-4WD,1995,Rusak,Baru,lib/assets/images/FIM-005MF.png
21,FIM-006MF,MF06,MASSEY FERGUSON,MF390-4WD,1996,Rusak,Baru,lib/assets/images/FIM-006MF.png
22,FIM-007MF,MF07,MASSEY FERGUSON,MF390-4WD,1997,Baik,Baru,lib/assets/images/FIM-007MF.png
23,FIM-011MF,MF11,MASSEY FERGUSON,MF440–4WD,2006,Baik,Baru,lib/assets/images/FIM-011MF.png
24,FIM-012MF,MF12,MASSEY FERGUSON,MF440–4WD,2007,Baik,Baru,lib/assets/images/FIM-012MF.png
25,FIM-013MF,MF13,MASSEY FERGUSON,MF440-EXTRA,2012,Baik,Baru,lib/assets/images/FIM-013MF.png
26,FIM-014JD,JD14,JOHN DEERE,JD-5715-4WD(92HP),2013,Baik,Baru,lib/assets/images/FIM-014JD.png
27,FIM-015JD,JD15,JOHNDEERE,JD-5715-4WD(92HP),2014,Baik,Baru,lib/assets/images/FIM-015JD.png
28,FIM-016JD,JD16,JOHNDEERE,JD-5090E-4WD(92HP),2018,Baik,Baru,lib/assets/images/FIM-016JD.png
29,FIM-017KB,KB17,KUBOTA,KB-M9540,2020,Baik,Baru,lib/assets/images/FIM-017KB.png
30,FIM-018KB,KB18,KUBOTA,KB-M9540,2022,Baik,Baru,lib/assets/images/FIM-018KB.png
31,FIM-019KB,KB19,KUBOTA,KB-M9540,2022,Baik,Baru,lib/assets/images/FIM-019KB.png
32,FIM-020KB,KB20,KUBOTA,KB-M9540,2024,Baik,Baru,lib/assets/images/FIM-020KB.png
33,FIM-021KB,KB21,KUBOTA,KB-MU5702,2024,Baik,Baru,lib/assets/images/FIM-021KB.png
34,FIM–002WT,WT-02,WATER TANK,2000LTR,2004,Baik,Baru,lib/assets/images/V-016.png
35,FIM–003WT,WT-03,WATER TANK,2000LTR,1999,Baik,Baru,lib/assets/images/V-016.png
36,FIM–004WT,WT-04,WATER TANK,2000LTR,2004,Baik,Baru,lib/assets/images/V-016.png
37,FIM–006WT,WT-06,WATER TANK,2000LTR,2000,Baik,Baru,lib/assets/images/V-016.png
38,FIM–007WT,WT-07,WATER TANK,2000LTR,2001,Baik,Baru,lib/assets/images/V-016.png
39,FIM–008WT,WT-08,WATER TANK,2000LTR,2001,Baik,Baru,lib/assets/images/V-016.png
40,FIM–009WT,WT-09,WATER TANK,2000LTR,2000,Baik,Baru,lib/assets/images/V-016.png
41,FIM–010WT,WT-10,WATER TANK,2000LTR,2004,Baik,Baru,lib/assets/images/V-016.png
42,FIM–011WT,WT-11,WATER TANK,2000LTR,2001,Baik,Baru,lib/assets/images/V-016.png
43,FIM–001LT,LT–01,LATEX TANK,3200LTR,1999,Baik,Baru,lib/assets/images/V-016.png
44,FIM–002LT,LT–02,LATEX TANK,2800LTR,1999,Baik,Baru,lib/assets/images/V-016.png
45,FIM–004LT,LT–04,LATEX TANK,2000LTR,1999,Baik,Baru,lib/assets/images/V-016.png
46,FIM–005LT,LT–05,LATEX TANK,2900LTR,1999,Rusak,Baru,lib/assets/images/V-016.png
47,FIM–006LT,LT–06,LATEX TANK,2000LTR,1999,Baik,Baru,lib/assets/images/V-016.png
48,FIM–007LT,LT–07,LATEX TANK,3200LTR,2005,Baik,Baru,lib/assets/images/V-016.png
49,FIM–008LT,LT–08,LATEX TANK,3300LTR,2005,Baik,Baru,lib/assets/images/V-016.png
50,FIM–009LT,LT–09,LATEX TANK,2200LTR,2010,Baik,Baru,lib/assets/images/V-016.png
51,FIM–011LT,LT–11,LATEX TANK,1800LTR,2014,Baik,Baru,lib/assets/images/V-016.png
52,FIM–012LT,LT–12,LATEX TANK,3500LTR,2016,Baik,Baru,lib/assets/images/V-016.png
53,FIM002TR,TR–02,TRAILLER,300X175CM,2003,Baik,Baru,lib/assets/images/V-016.png
54,FIM010TR,TR–10,TRAILLER,300X175CM,2007,Baik,Baru,lib/assets/images/V-016.png
55,FIM011TR,TR–11,TRAILLER,300X175CM,2007,Baik,Baru,lib/assets/images/V-016.png
56,FIM012TR,TR–12,TRAILLER,300X175CM,2007,Baik,Baru,lib/assets/images/V-016.png
57,FIM013TR,TR–13,TRAILLER,300X175CM,2013,Baik,Baru,lib/assets/images/V-016.png
58,FIM014TR,TR–14,TRAILLER,300X175CM,2013,Baik,Baru,lib/assets/images/V-016.png
59,FIM015TR,TR–15,TRAILLER,300X175CM,2020,Baik,Baru,lib/assets/images/V-016.png
60,FIM016TR,TR–16,TRAILLER,300X175CM,2023,Baik,Baru,lib/assets/images/V-016.png
61,FIM004WP,WP-04,WATER PUMP,KS300B44612,2004,Baik,Baru,lib/assets/images/V-016.png
62,FIM007WP,WP-07,WATER PUMP,EY15D/6106628,2003,Baik,Baru,lib/assets/images/V-016.png
63,FIM008WP,WP-08,WATER PUMP,EY15-3D/6203213,2004,Rusak,Baru,lib/assets/images/V-016.png
64,FIM010WP,WP-10,WATER PUMP,EY15-3D/6115801,2002,Baik,Baru,lib/assets/images/V-016.png
65,FIM011WP,WP-11,WATER PUMP,EY15-3D/3747724,1999,Baik,Baru,lib/assets/images/V-016.png
66,FIM012WP,WP-12,WATER PUMP,EY15-3D/7125276,2006,Baik,Baru,lib/assets/images/V-016.png
67,FIM018WP,WP-18,WATER PUMP,YANMARTS190R-di19265,2002,Baik,Baru,lib/assets/images/V-016.png
68,FIM019WP,WP-19,WATER PUMP,MITSUBISHIPS100ME0-16432,2006,Baik,Baru,lib/assets/images/V-016.png
69,FIM020WP,WP-20,WATER PUMP,YANMARTF105R-di220997-2,1999,Baik,Baru,lib/assets/images/V-016.png
70,E-006GS,GS-06,GENERATOR SET,YANMAR4T112TLE-GBI75KVA,2000,Baik,Baru,lib/assets/images/V-016.png
71,PPM-051,GS-51,GENERATOR SET,MEDENSHAE-AF250KVA,2000,Rusak,Baru,lib/assets/images/V-016.png
72,E-004GS,GS-04,GENERATOR SET,FGWILSONP100-P110E110KVA,2001,Baik,Baru,lib/assets/images/V-016.png
73,E-005GS,GS-05,GENERATOR SET,DEUTZ/BISMAF4L91234KVA,2002,Baik,Baru,lib/assets/images/V-016.png
74,E-011GS,GS-11,GENERATOR SET,CATERPILLARD-3406375KVA,2008,Baik,Baru,lib/assets/images/V-016.png
75,E-013GS,GS-13,GENERATOR SET,CATERPILLARD-3406375KVA,2010,Baik,Baru,lib/assets/images/V-016.png
76,E-014GS,GS-14,GENERATOR SET,YANMAR4TNV98-GGE33KVA,2013,Baik,Baru,lib/assets/images/V-016.png
77,FIM–001OT,OT-01,CONCRETE MIXER,MIXER2000LTR,2000,Baik,Baru,lib/assets/images/V-016.png
78,FIM–003OT,OT-03,SLASHER MACHINE,RED,2000,Baik,Baru,lib/assets/images/V-016.png
79,FIM–004OT,OT-04,SLASHER MACHINE,HOWARD,2018,Baik,Baru,lib/assets/images/V-016.png
80,FIM–005OT,OT-05,SLASHER MACHINE,HOWARD,2020,Baik,Baru,lib/assets/images/V-016.png
81,FIM–011OT,OT-11,ARC WELDER KR AC,CHARGERBATTERY,1999,Baik,Baru,lib/assets/images/V-016.png
82,FIM–012OT,OT-12,COMPRESOR,SANCIN/G342379,2000,Baik,Baru,lib/assets/images/V-016.png
83,FIM–013OT,OT-13,HARROW & PLOUGHT,none,1999,Baik,Baru,lib/assets/images/V-016.png
84,FIM–017OT,OT-17,ROTAVATOR,MHR16/180,2006,Baik,Baru,lib/assets/images/V-016.png
85,FIM–018OT,OT-18,DISK HERO,HR32–30,2006,Baik,Baru,lib/assets/images/V-016.png
86,FIM–020OT,OT-20,BIG HUMMER,SWARDFISTCINA,2006,Baik,Baru,lib/assets/images/V-016.png
87,FIM–022OT,OT-22,BLOWER ELECTRIC,none,2006,Baik,Baru,lib/assets/images/V-016.png
88,FIM–031OT,OT-31,HYDROLIC,HUMMERHEAVEDUTY5TON,2007,Baik,Baru,lib/assets/images/V-016.png
89,FIM–063OT,OT-63,GRIND STONE,MAKITAMR-240,2010,Baik,Baru,lib/assets/images/V-016.png
90,FIM–071OT,OT-71,PHD-45/GEAR BOOK,HOWARD,2011,Baik,Baru,lib/assets/images/V-016.png
91,FIM–077OT,OT-77,PHD-45/GEAR BOOK,HOWARD,2011,Baik,Baru,lib/assets/images/V-016.png
92,FIM–078OT,OT-78,PHD-45/GEAR BOOK,HOWARD,2023,Baik,Baru,lib/assets/images/V-016.png
93,FIM–078OT,OT-78,TIRE MACHINE,PROMAXX9260,2010,Baik,Baru,lib/assets/images/V-016.png
94,EO53PR,0,PRINTER,EPSONLX-300+11,2010,Baik,Baru,lib/assets/images/V-016.png
95,HE01,0,EXAVATOR,KOBELCOSK-130,2023,Baik,Second,lib/assets/images/V-016.png
96,HE02,0,STONE CRUSHER,MITSUBISHIPS120,2023,Baik,Second,lib/assets/images/V-016.png
97,HE03,0,BULDOZER,KOMATSUD3,2024,Baik,Second,lib/assets/images/V-016.png
98,HE04,0,VIBRO ROLLER,SAKAISV512D,2024,Baik,Second,lib/assets/images/V-016.png
